tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,MARCHETTI Nathalie,AMRUTE Shruti,3,0,"11,11,11|8,5,9",QUAL,OLYMPICS,WS,2260,Qualification,MARCHETTI Nathalie (BEL),AMRUTE Shruti (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,GHOSH Anirban,SHAH Syed,3,0,"11,11,11|3,5,2",QUAL,OLYMPICS,MS,2260,Qualification,GHOSH Anirban (IND),SHAH Syed (PAK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KUKULKOVA Tatiana,NATH Kaushani,3,0,"11,11,11|8,8,9",QUAL,OLYMPICS,WS,2260,Qualification,KUKULKOVA Tatiana (SVK),NATH Kaushani (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KAMATH Archana,TENNISON Reeth,3,2,"12,11,7,9,11|10,6,11,11,8",QUAL,OLYMPICS,WS,2260,Qualification,KAMATH Archana (IND),TENNISON Reeth (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHITALE Diya,DUTTA Moumita,3,0,"11,11,11|6,9,9",QUAL,OLYMPICS,WS,2260,Qualification,CHITALE Diya (IND),DUTTA Moumita (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,MARCHETTI Nathalie,MUKHERJEE Sagarika,3,1,"19,12,8,11|17,10,11,8",QUAL,OLYMPICS,WS,2260,Qualification,MARCHETTI Nathalie (BEL),MUKHERJEE Sagarika (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,MUKHERJEE Sutirtha,AMRUTE Shruti,3,1,"12,3,11,11|10,11,9,9",QUAL,OLYMPICS,WS,2260,Qualification,MUKHERJEE Sutirtha (IND),AMRUTE Shruti (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SHETTY Sanil,AL RIYAMI Issa,3,0,"11,11,11|6,3,4",QUAL,OLYMPICS,MS,2260,Qualification,SHETTY Sanil (IND),AL RIYAMI Issa (OMA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SHAH Manush,ZAHOOR Faizan,3,1,"11,9,11,11|4,11,8,7",QUAL,OLYMPICS,MS,2260,Qualification,SHAH Manush (IND),ZAHOOR Faizan (PAK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ABDULWAHHAB Mohammed,AL SHAHI Maadh,3,0,"0,0,0|0,0,0",QUAL,OLYMPICS,MS,2260,Qualification,ABDULWAHHAB Mohammed (QAT),AL SHAHI Maadh (OMA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LEVINSKI Mishel,ZAYED Ahmed,3,0,"0,0,0|0,0,0",QUAL,OLYMPICS,MS,2260,Qualification,LEVINSKI Mishel (USA),ZAYED Ahmed (EGY)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SURAVAJJULA Snehit,SHAH Syed,3,0,"11,11,11|3,5,5",QUAL,OLYMPICS,MS,2260,Qualification,SURAVAJJULA Snehit (IND),SHAH Syed (PAK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ALRAISI Asad,AL SAMHOURY Tarek,3,0,"11,11,11|5,5,6",QUAL,OLYMPICS,MS,2260,Qualification,ALRAISI Asad (OMA),AL SAMHOURY Tarek (AUT)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHANDRA Jeet,ABDULLAHI Abdulrahaman,3,2,"10,12,11,9,11|12,10,5,11,4",QUAL,OLYMPICS,MS,2260,Qualification,CHANDRA Jeet (IND),ABDULLAHI Abdulrahaman (NGR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,AL-MOHANNADI Ahmad Khalil,GHOSH Anirban,3,0,"0,0,0|0,0,0",QUAL,OLYMPICS,MS,2260,Qualification,AL-MOHANNADI Ahmad Khalil (QAT),GHOSH Anirban (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PANG Koen,LEBESSON Emmanuel,3,1,"13,15,6,11|11,13,11,6",R16,OLYMPICS,XD,2260,Main Draw,PANG Koen (SGP),LEBESSON Emmanuel (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ROBLES Alvaro,ACHANTA Sharath,3,2,"14,11,11,5,11|16,6,6,11,7",R16,OLYMPICS,XD,2260,Main Draw,ROBLES Alvaro (ESP),ACHANTA Sharath (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,IONESCU Ovidiu,THAKKAR Manav,3,0,"12,11,11|10,7,7",R16,OLYMPICS,XD,2260,Main Draw,IONESCU Ovidiu (ROU),THAKKAR Manav (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHEW Clarence,KHANIN Aleksandr,3,1,"12,12,9,11|10,10,11,1",R16,OLYMPICS,XD,2260,Main Draw,CHEW Clarence (SGP),KHANIN Aleksandr (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,WANG Yang,LAMBIET Florent,3,1,"13,4,11,11|11,11,9,6",R16,OLYMPICS,XD,2260,Main Draw,WANG Yang (SVK),LAMBIET Florent (BEL)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PISTEJ Lubomir,PANG Koen,3,2,"11,12,4,7,13|7,10,11,11,11",QF,OLYMPICS,XD,2260,Main Draw,PISTEJ Lubomir (SVK),PANG Koen (SGP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ROBLES Alvaro,KARAKASEVIC Aleksandar,3,0,"11,12,11|5,10,6",QF,OLYMPICS,XD,2260,Main Draw,ROBLES Alvaro (ESP),KARAKASEVIC Aleksandar (SRB)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,IONESCU Ovidiu,KHANIN Aleksandr,3,1,"12,8,11,11|10,11,8,8",QF,OLYMPICS,XD,2260,Main Draw,IONESCU Ovidiu (ROU),KHANIN Aleksandr (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LAMBIET Florent,FLORE Tristan,3,1,"11,3,12,11|8,11,10,1",QF,OLYMPICS,XD,2260,Main Draw,LAMBIET Florent (BEL),FLORE Tristan (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ALRAISI Asad,DANI Mudit,4,0,"11,11,11,11|6,2,5,4",R64,OLYMPICS,MS,2260,Main Draw,ALRAISI Asad (OMA),DANI Mudit (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHEW Clarence,SURAVAJJULA Snehit,4,2,"11,10,11,11,9,11|3,12,5,5,11,8",R64,OLYMPICS,MS,2260,Main Draw,CHEW Clarence (SGP),SURAVAJJULA Snehit (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,AL RIYAMI Issa,LAMBIET Florent,4,0,"11,11,11,11|4,7,6,3",R64,OLYMPICS,MS,2260,Main Draw,AL RIYAMI Issa (OMA),LAMBIET Florent (BEL)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ZAHOOR Faizan,GERALDO Joao,4,0,"11,11,11,11|6,6,6,1",R64,OLYMPICS,MS,2260,Main Draw,ZAHOOR Faizan (PAK),GERALDO Joao (POR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PLATONOV Pavel,AL SAMHOURY Tarek,4,0,"11,11,11,11|4,4,5,3",R64,OLYMPICS,MS,2260,Main Draw,PLATONOV Pavel (BLR),AL SAMHOURY Tarek (AUT)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,GHOSH Anirban,HAZIN Jeremy,4,0,"11,11,13,11|8,8,11,9",R64,OLYMPICS,MS,2260,Main Draw,GHOSH Anirban (IND),HAZIN Jeremy (CAN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SHAH Manush,AL BALUSHI Muhannad,4,1,"10,11,11,11,11|12,1,5,4,5",R64,OLYMPICS,MS,2260,Main Draw,SHAH Manush (IND),AL BALUSHI Muhannad (OMA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KHANIN Aleksandr,ZAYED Ahmed,4,1,"11,11,11,9,11|3,5,5,11,6",R64,OLYMPICS,MS,2260,Main Draw,KHANIN Aleksandr (BLR),ZAYED Ahmed (EGY)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,STEGER Bastian,ABDULLAHI Abdulrahaman,4,0,"11,11,11,11|3,4,3,3",R64,OLYMPICS,MS,2260,Main Draw,STEGER Bastian (GER),ABDULLAHI Abdulrahaman (NGR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,AL SHAHI Maadh,ALLEGRO Martin,4,0,"11,11,11,11|9,3,6,7",R64,OLYMPICS,MS,2260,Main Draw,AL SHAHI Maadh (OMA),ALLEGRO Martin (BEL)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PANG Koen,SHETTY Sanil,4,3,"11,8,11,4,11,17,11|7,11,7,11,5,19,8",R64,OLYMPICS,MS,2260,Main Draw,PANG Koen (SGP),SHETTY Sanil (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHANDRA Jeet,SALIFOU Abdel-Kader,4,0,"11,11,11,11|7,8,8,8",R64,OLYMPICS,MS,2260,Main Draw,CHANDRA Jeet (IND),SALIFOU Abdel-Kader (BEN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,FLORE Tristan,SHAH Syed,4,0,"11,11,11,11|3,6,3,4",R64,OLYMPICS,MS,2260,Main Draw,FLORE Tristan (FRA),SHAH Syed (PAK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHITALE Diya,TRIGOLOS Daria,3,0,"11,11,11|5,9,6",QF,OLYMPICS,U21WS,2260,Main Draw,CHITALE Diya (IND),TRIGOLOS Daria (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ZHANG Sofia-Xuan,DUTTA Moumita,3,2,"11,9,11,10,11|8,11,2,12,8",QF,OLYMPICS,U21WS,2260,Main Draw,ZHANG Sofia-Xuan (ESP),DUTTA Moumita (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KUKULKOVA Tatiana,KAMATH Archana,3,2,"11,12,6,7,11|3,10,11,11,8",QF,OLYMPICS,U21WS,2260,Main Draw,KUKULKOVA Tatiana (SVK),KAMATH Archana (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,THAKKAR Manav,AL RIYAMI Issa,3,0,"11,11,11|1,8,2",QF,OLYMPICS,U21MS,2260,Main Draw,THAKKAR Manav (IND),AL RIYAMI Issa (OMA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SURAVAJJULA Snehit,HAZIN Jeremy,3,0,"11,11,15|6,2,13",QF,OLYMPICS,U21MS,2260,Main Draw,SURAVAJJULA Snehit (IND),HAZIN Jeremy (CAN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHANDRA Jeet,AL SHAHI Maadh,3,0,"11,11,11|3,6,4",QF,OLYMPICS,U21MS,2260,Main Draw,CHANDRA Jeet (IND),AL SHAHI Maadh (OMA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SHAH Manush,PANG Koen,3,0,"11,11,11|7,8,4",QF,OLYMPICS,U21MS,2260,Main Draw,SHAH Manush (IND),PANG Koen (SGP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,MUKHERJEE Sutirtha,GASNIER Laura,4,3,"11,11,6,8,7,11,11|8,5,11,11,11,8,6",R32,OLYMPICS,WS,2260,Main Draw,MUKHERJEE Sutirtha (IND),GASNIER Laura (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,DE NUTTE Sarah,CHITALE Diya,4,1,"11,9,11,11,11|8,11,8,6,8",R32,OLYMPICS,WS,2260,Main Draw,DE NUTTE Sarah (LUX),CHITALE Diya (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,NATH Kaushani,NOSKOVA Yana,4,2,"3,11,11,11,13,11|11,2,8,3,15,4",R32,OLYMPICS,WS,2260,Main Draw,NATH Kaushani (IND),NOSKOVA Yana (RUS)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LIN Ye,MUKHERJEE Sagarika,4,1,"11,11,11,11,11|7,5,13,4,5",R32,OLYMPICS,WS,2260,Main Draw,LIN Ye (CAN),MUKHERJEE Sagarika (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,AMRUTE Shruti,DVORAK Galia,4,0,"11,11,11,11|8,7,6,2",R32,OLYMPICS,WS,2260,Main Draw,AMRUTE Shruti (IND),DVORAK Galia (ESP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ZENG Jian,ZHANG Sofia-Xuan,4,0,"11,11,11,11|9,7,2,8",R32,OLYMPICS,WS,2260,Main Draw,ZENG Jian (SGP),ZHANG Sofia-Xuan (ESP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KATO Miyu,DUTTA Moumita,4,0,"11,11,11,11|6,5,2,3",R32,OLYMPICS,WS,2260,Main Draw,KATO Miyu (JPN),DUTTA Moumita (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PATKAR Madhurika,SHIOMI Maki,4,1,"11,11,9,11,11|7,8,11,5,1",R32,OLYMPICS,WS,2260,Main Draw,PATKAR Madhurika (IND),SHIOMI Maki (JPN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LUPULESKU Izabela,KAMATH Archana,4,1,"12,5,11,11,11|10,11,9,2,9",R32,OLYMPICS,WS,2260,Main Draw,LUPULESKU Izabela (SRB),KAMATH Archana (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,TENNISON Reeth,VARADY Barbora,4,3,"11,11,8,18,11,8,11|5,4,11,20,5,11,4",R32,OLYMPICS,WS,2260,Main Draw,TENNISON Reeth (IND),VARADY Barbora (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,YANG Xiaoxin,MARCHETTI Nathalie,4,0,"11,11,11,11|7,6,5,8",R32,OLYMPICS,WS,2260,Main Draw,YANG Xiaoxin (MON),MARCHETTI Nathalie (BEL)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KUKULKOVA Tatiana,TRIGOLOS Daria,4,0,"11,11,11,15|7,8,7,13",R32,OLYMPICS,WS,2260,Main Draw,KUKULKOVA Tatiana (SVK),TRIGOLOS Daria (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,FREITAS Marcos,DANI Mudit,4,0,"11,11,11,11|4,2,5,5",R32,OLYMPICS,MS,2260,Main Draw,FREITAS Marcos (POR),DANI Mudit (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHEW Clarence,PISTEJ Lubomir,4,1,"11,6,11,12,11|9,11,9,10,4",R32,OLYMPICS,MS,2260,Main Draw,CHEW Clarence (SGP),PISTEJ Lubomir (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,MADRID Marcos,LAMBIET Florent,4,1,"9,11,11,11,11|11,9,6,5,7",R32,OLYMPICS,MS,2260,Main Draw,MADRID Marcos (MEX),LAMBIET Florent (BEL)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KARAKASEVIC Aleksandar,WANG Yang,4,1,"11,12,11,11,12|9,14,9,7,10",R32,OLYMPICS,MS,2260,Main Draw,KARAKASEVIC Aleksandar (SRB),WANG Yang (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,XIAO Maria,YUAN Jia Nan,4,2,"11,11,9,8,11,11|7,5,11,11,5,9",R32,OLYMPICS,WS,2260,Main Draw,XIAO Maria (ESP),YUAN Jia Nan (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PLATONOV Pavel,ASSAR Omar,4,1,"11,6,11,11,11|4,11,5,6,7",R32,OLYMPICS,MS,2260,Main Draw,PLATONOV Pavel (BLR),ASSAR Omar (EGY)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,DEVOS Robin,ROBLES Alvaro,4,1,"11,11,10,12,11|9,9,12,10,5",R32,OLYMPICS,MS,2260,Main Draw,DEVOS Robin (BEL),ROBLES Alvaro (ESP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,DESAI Harmeet,HAZIN Jeremy,4,0,"12,11,11,11|10,8,4,4",R32,OLYMPICS,MS,2260,Main Draw,DESAI Harmeet (IND),HAZIN Jeremy (CAN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,IONESCU Ovidiu,GERALDO Joao,4,0,"0,0,0,0|0,0,0,0",R32,OLYMPICS,MS,2260,Main Draw,IONESCU Ovidiu (ROU),GERALDO Joao (POR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ACHANTA Sharath,SHAH Manush,4,0,"11,11,11,11|6,4,9,8",R32,OLYMPICS,MS,2260,Main Draw,ACHANTA Sharath (IND),SHAH Manush (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KHANIN Aleksandr,MONTEIRO Thiago,4,1,"10,11,11,11,11|12,9,4,9,5",R32,OLYMPICS,MS,2260,Main Draw,KHANIN Aleksandr (BLR),MONTEIRO Thiago (BRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,OLAH Benedek,THAKKAR Manav,4,0,"11,11,11,11|7,8,6,6",R32,OLYMPICS,MS,2260,Main Draw,OLAH Benedek (FIN),THAKKAR Manav (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,STEGER Bastian,LEBESSON Emmanuel,4,2,"14,11,9,11,9,11|12,6,11,3,11,5",R32,OLYMPICS,MS,2260,Main Draw,STEGER Bastian (GER),LEBESSON Emmanuel (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,APOLONIA Tiago,ALLEGRO Martin,4,0,"11,13,11,11|6,11,9,2",R32,OLYMPICS,MS,2260,Main Draw,APOLONIA Tiago (POR),ALLEGRO Martin (BEL)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PANG Koen,GERASSIMENKO Kirill,4,2,"11,7,13,13,14,12|6,11,11,11,16,10",R32,OLYMPICS,MS,2260,Main Draw,PANG Koen (SGP),GERASSIMENKO Kirill (KAZ)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SKACHKOV Kirill,SALIFOU Abdel-Kader,4,3,"11,9,11,9,11,8,11|8,11,8,11,9,11,7",R32,OLYMPICS,MS,2260,Main Draw,SKACHKOV Kirill (RUS),SALIFOU Abdel-Kader (BEN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,FLORE Tristan,GROTH Jonathan,4,3,"11,8,12,9,11,8,11|5,11,10,11,7,11,7",R32,OLYMPICS,MS,2260,Main Draw,FLORE Tristan (FRA),GROTH Jonathan (DEN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,PANG Koen,ROBLES Alvaro,3,2,"6,11,9,11,11|11,8,11,9,9",SF,OLYMPICS,XD,2260,Main Draw,PANG Koen (SGP),ROBLES Alvaro (ESP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KHANIN Aleksandr,FLORE Tristan,3,0,"11,12,11|7,10,9",SF,OLYMPICS,XD,2260,Main Draw,KHANIN Aleksandr (BLR),FLORE Tristan (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,MARCHETTI Nathalie,VARADY Barbora,3,2,"8,11,11,8,11|11,8,6,11,8",QF,OLYMPICS,WD,2260,Main Draw,MARCHETTI Nathalie (BEL),VARADY Barbora (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SHAH Manush,KHANIN Aleksandr,3,1,"12,8,11,11|10,11,8,9",QF,OLYMPICS,MD,2260,Main Draw,SHAH Manush (IND),KHANIN Aleksandr (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KARAKASEVIC Aleksandar,CHANDRA Jeet,3,0,"11,11,11|9,6,6",QF,OLYMPICS,MD,2260,Main Draw,KARAKASEVIC Aleksandar (SRB),CHANDRA Jeet (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,AL BALUSHI Muhannad,ACHANTA Sharath,3,0,"11,11,11|4,3,7",QF,OLYMPICS,MD,2260,Main Draw,AL BALUSHI Muhannad (OMA),ACHANTA Sharath (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SHIOMI Maki,TRIGOLOS Daria,3,2,"11,11,5,9,11|9,6,11,11,4",SF,OLYMPICS,U21WS,2260,Main Draw,SHIOMI Maki (JPN),TRIGOLOS Daria (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ZHANG Sofia-Xuan,KUKULKOVA Tatiana,3,1,"9,14,11,11|11,12,3,7",SF,OLYMPICS,U21WS,2260,Main Draw,ZHANG Sofia-Xuan (ESP),KUKULKOVA Tatiana (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,THAKKAR Manav,SURAVAJJULA Snehit,3,2,"7,11,11,8,14|11,5,8,11,12",SF,OLYMPICS,U21MS,2260,Main Draw,THAKKAR Manav (IND),SURAVAJJULA Snehit (IND)
