tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Men's World Cup Moscow 2009,2009-10-16,SMIRNOV Alexey,JOO Saehyuk,4,3,"11,13,4,10,12,5,12|6,11,11,12,10,11,10",1,WORLD_CUP,MS,824,Qualification,SMIRNOV Alexey (RUS),JOO Saehyuk (KOR),SMIRNOV Alexey
Men's World Cup Moscow 2009,2009-10-16,BOLL Timo,JOO Saehyuk,4,2,"11,9,11,5,11,11|2,11,1,11,3,9",QR2,WORLD_CUP,MS,824,Qualification,BOLL Timo (GER),JOO Saehyuk (KOR),BOLL Timo
Men's World Cup Moscow 2009,2009-10-16,KREANGA Kalinikos,SMIRNOV Alexey,4,1,"11,11,11,4,14|7,9,6,11,12",QR2,WORLD_CUP,MS,824,Qualification,KREANGA Kalinikos (GRE),SMIRNOV Alexey (RUS),KREANGA Kalinikos
Men's World Cup Moscow 2009,2009-10-16,BOLL Timo,SMIRNOV Alexey,4,1,"11,11,11,9,11|9,5,8,11,7",3,WORLD_CUP,MS,824,Qualification,BOLL Timo (GER),SMIRNOV Alexey (RUS),BOLL Timo
Men's World Cup Moscow 2009,2009-10-16,JOO Saehyuk,KREANGA Kalinikos,4,3,"11,3,8,13,9,12,11|8,11,11,11,11,10,6",3,WORLD_CUP,MS,824,Qualification,JOO Saehyuk (KOR),KREANGA Kalinikos (GRE),JOO Saehyuk
Men's World Cup Moscow 2009,2009-10-16,SAMSONOV Vladimir,CHEUNG Yuk,4,1,"11,13,12,7,11|8,11,10,11,8",,WORLD_CUP,MS,824,Qualification,SAMSONOV Vladimir (BLR),CHEUNG Yuk (HKG),SAMSONOV Vladimir
Men's World Cup Moscow 2009,2009-10-16,CHEN Qi,MATSUMOTO Cazuo,4,0,"11,11,11,11|5,6,6,5",1,WORLD_CUP,MS,824,Qualification,CHEN Qi (CHN),MATSUMOTO Cazuo (BRA),CHEN Qi
Men's World Cup Moscow 2009,2009-10-16,CHEUNG Yuk,MATSUMOTO Cazuo,4,1,"11,13,11,11,11|13,11,5,8,4",QR2,WORLD_CUP,MS,824,Qualification,CHEUNG Yuk (HKG),MATSUMOTO Cazuo (BRA),CHEUNG Yuk
Men's World Cup Moscow 2009,2009-10-16,SAMSONOV Vladimir,MATSUMOTO Cazuo,4,0,"11,11,11,11|5,8,6,7",3,WORLD_CUP,MS,824,Qualification,SAMSONOV Vladimir (BLR),MATSUMOTO Cazuo (BRA),SAMSONOV Vladimir
Men's World Cup Moscow 2009,2009-10-16,CHEN Qi,CHEUNG Yuk,4,2,"10,11,11,11,13,12|12,7,8,7,15,10",3,WORLD_CUP,MS,824,Qualification,CHEN Qi (CHN),CHEUNG Yuk (HKG),CHEN Qi
Men's World Cup Moscow 2009,2009-10-16,OVTCHAROV Dimitrij,MAZE Michael,4,2,"9,11,8,11,11,11|11,3,11,9,7,9",,WORLD_CUP,MS,824,Qualification,OVTCHAROV Dimitrij (GER),MAZE Michael (DEN),OVTCHAROV Dimitrij
Men's World Cup Moscow 2009,2009-10-16,MIZUTANI Jun,CHUANG Chih-Yuan,4,3,"11,11,11,10,9,3,11|7,6,5,12,11,11,5",1,WORLD_CUP,MS,824,Qualification,MIZUTANI Jun (JPN),CHUANG Chih-Yuan (TPE),MIZUTANI Jun
Men's World Cup Moscow 2009,2009-10-16,OVTCHAROV Dimitrij,CHUANG Chih-Yuan,4,3,"11,6,11,7,7,11,11|8,11,4,11,11,8,8",QR2,WORLD_CUP,MS,824,Qualification,OVTCHAROV Dimitrij (GER),CHUANG Chih-Yuan (TPE),OVTCHAROV Dimitrij
Men's World Cup Moscow 2009,2009-10-16,MAZE Michael,MIZUTANI Jun,4,1,"13,10,11,11,11|11,12,8,8,7",QR2,WORLD_CUP,MS,824,Qualification,MAZE Michael (DEN),MIZUTANI Jun (JPN),MAZE Michael
Men's World Cup Moscow 2009,2009-10-16,MAZE Michael,CHUANG Chih-Yuan,4,2,"11,10,13,8,15,16|8,12,11,11,13,14",3,WORLD_CUP,MS,824,Qualification,MAZE Michael (DEN),CHUANG Chih-Yuan (TPE),MAZE Michael
Men's World Cup Moscow 2009,2009-10-16,MIZUTANI Jun,OVTCHAROV Dimitrij,4,3,"11,11,11,8,3,9,11|6,7,5,11,11,11,6",3,WORLD_CUP,MS,824,Qualification,MIZUTANI Jun (JPN),OVTCHAROV Dimitrij (GER),MIZUTANI Jun
Men's World Cup Moscow 2009,2009-10-16,MATSUMOTO Cazuo,FRANK Robert,4,1,,,WORLD_CUP,MS,824,Qualification,MATSUMOTO Cazuo (BRA),FRANK Robert (AUS),MATSUMOTO Cazuo
Men's World Cup Moscow 2009,2009-10-16,ARUNA Quadri,THERIEN Xavier,4,2,,1,WORLD_CUP,MS,824,Qualification,ARUNA Quadri (NGR),THERIEN Xavier (CAN),ARUNA Quadri
Men's World Cup Moscow 2009,2009-10-16,MATSUMOTO Cazuo,THERIEN Xavier,4,1,,QR2,WORLD_CUP,MS,824,Qualification,MATSUMOTO Cazuo (BRA),THERIEN Xavier (CAN),MATSUMOTO Cazuo
Men's World Cup Moscow 2009,2009-10-16,ARUNA Quadri,FRANK Robert,4,0,,QR2,WORLD_CUP,MS,824,Qualification,ARUNA Quadri (NGR),FRANK Robert (AUS),ARUNA Quadri
Men's World Cup Moscow 2009,2009-10-16,MATSUMOTO Cazuo,ARUNA Quadri,4,2,,3,WORLD_CUP,MS,824,Qualification,MATSUMOTO Cazuo (BRA),ARUNA Quadri (NGR),MATSUMOTO Cazuo
Men's World Cup Moscow 2009,2009-10-16,THERIEN Xavier,FRANK Robert,4,3,,3,WORLD_CUP,MS,824,Qualification,THERIEN Xavier (CAN),FRANK Robert (AUS),THERIEN Xavier
