tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF-Oceania Cup 2022,2022-12-17,YEE Grace Rosi,WANEGUI Julie,FIJ,NCL,4,3,"11,9,11,11,9,9,11|4,11,8,6,11,11,6",QUAL,OTHER,WS,2670,Qualification,YEE Grace Rosi (FIJ),WANEGUI Julie (NCL),,,4 - 3,11:4 9:11 11:8 11:6 9:11 9:11 11:6,YEE Grace Rosi,2022
ITTF-Oceania Cup 2022,2022-12-17,LIU Yangzi,WANEGUI Julie,AUS,NCL,4,0,"11,11,11,11|4,3,5,5",QUAL,OTHER,WS,2670,Qualification,LIU Yangzi (AUS),WANEGUI Julie (NCL),,,4 - 0,11:4 11:3 11:5 11:5,LIU Yangzi,2022
ITTF-Oceania Cup 2022,2022-12-17,LI Carolyn,AGARI Tammi,FIJ,PNG,4,0,"11,12,11,11|9,10,7,2",QUAL,OTHER,WS,2670,Qualification,LI Carolyn (FIJ),AGARI Tammi (PNG),,,4 - 0,11:9 12:10 11:7 11:2,LI Carolyn,2022
ITTF-Oceania Cup 2022,2022-12-17,DELA PENA Alfred,WU Vicky,NZL,FIJ,4,0,"11,11,13,11|6,1,11,4",QUAL,OTHER,MS,2670,Qualification,DELA PENA Alfred (NZL),WU Vicky (FIJ),,,4 - 0,11:6 11:1 13:11 11:4,DELA PENA Alfred,2022
ITTF-Oceania Cup 2022,2022-12-17,YAN Xin,LOI Geoffrey,AUS,PNG,4,0,"11,11,11,11|4,2,2,6",QUAL,OTHER,MS,2670,Qualification,YAN Xin (AUS),LOI Geoffrey (PNG),,,4 - 0,11:4 11:2 11:2 11:6,YAN Xin,2022
ITTF-Oceania Cup 2022,2022-12-17,JEE Minhyung,PAUL Anais,AUS,NCL,4,0,"11,11,11,11|3,2,2,4",QUAL,OTHER,WS,2670,Qualification,JEE Minhyung (AUS),PAUL Anais (NCL),,,4 - 0,11:3 11:2 11:2 11:4,JEE Minhyung,2022
ITTF-Oceania Cup 2022,2022-12-17,LIU Yangzi,YEE Grace Rosi,AUS,FIJ,4,0,"11,11,11,11|4,5,5,4",QUAL,OTHER,WS,2670,Qualification,LIU Yangzi (AUS),YEE Grace Rosi (FIJ),,,4 - 0,11:4 11:5 11:5 11:4,LIU Yangzi,2022
ITTF-Oceania Cup 2022,2022-12-17,AMOR Kelsey,ZHANG Bei Yan,NZL,FIJ,4,0,"11,11,11,11|6,2,3,6",QUAL,OTHER,MS,2670,Qualification,AMOR Kelsey (NZL),ZHANG Bei Yan (FIJ),,,4 - 0,11:6 11:2 11:3 11:6,AMOR Kelsey,2022
ITTF-Oceania Cup 2022,2022-12-17,LUM Nicholas,DEY Jeremy,AUS,NCL,4,0,"11,11,11,11|4,4,4,9",QUAL,OTHER,MS,2670,Qualification,LUM Nicholas (AUS),DEY Jeremy (NCL),,,4 - 0,11:4 11:4 11:4 11:9,LUM Nicholas,2022
ITTF-Oceania Cup 2022,2022-12-17,WANEGUI Julie,HANE Maryanne,NCL,PNG,4,0,"11,11,11,11|7,1,4,4",QUAL,OTHER,WS,2670,Qualification,WANEGUI Julie (NCL),HANE Maryanne (PNG),,,4 - 0,11:7 11:1 11:4 11:4,WANEGUI Julie,2022
ITTF-Oceania Cup 2022,2022-12-17,JEE Minhyung,LI Carolyn,AUS,FIJ,4,0,"11,11,11,11|3,4,2,1",QUAL,OTHER,WS,2670,Qualification,JEE Minhyung (AUS),LI Carolyn (FIJ),,,4 - 0,11:3 11:4 11:2 11:1,JEE Minhyung,2022
ITTF-Oceania Cup 2022,2022-12-17,LOI Geoffrey,WU Vicky,PNG,FIJ,4,2,"14,7,4,11,11,11|12,11,11,3,7,9",QUAL,OTHER,MS,2670,Qualification,LOI Geoffrey (PNG),WU Vicky (FIJ),,,4 - 2,14:12 7:11 4:11 11:3 11:7 11:9,LOI Geoffrey,2022
ITTF-Oceania Cup 2022,2022-12-17,YAN Xin,DELA PENA Alfred,AUS,NZL,4,0,"11,11,11,11|7,4,7,5",QUAL,OTHER,MS,2670,Qualification,YAN Xin (AUS),DELA PENA Alfred (NZL),,,4 - 0,11:7 11:4 11:7 11:5,YAN Xin,2022
ITTF-Oceania Cup 2022,2022-12-17,PAUL Anais,AGARI Tammi,NCL,PNG,4,0,"11,11,11,11|6,6,5,7",QUAL,OTHER,WS,2670,Qualification,PAUL Anais (NCL),AGARI Tammi (PNG),,,4 - 0,11:6 11:6 11:5 11:7,PAUL Anais,2022
ITTF-Oceania Cup 2022,2022-12-17,WANEGUI Julie,LI Carolyn,FIJ,NCL,4,0,"11,11,11,11|8,8,3,7",QF,OTHER,WS,2670,Main Draw,WANEGUI Julie (NCL),LI Carolyn (FIJ),,,0 - 4,8:11 8:11 3:11 7:11,LI Carolyn,2022
ITTF-Oceania Cup 2022,2022-12-17,AMOR Kelsey,DELA PENA Alfred,NZL,NZL,4,1,"11,11,11,6,11|2,3,5,11,4",QF,OTHER,MS,2670,Main Draw,AMOR Kelsey (NZL),DELA PENA Alfred (NZL),,,1 - 4,2:11 3:11 5:11 11:6 4:11,DELA PENA Alfred,2022
ITTF-Oceania Cup 2022,2022-12-17,DEY Jeremy,LOI Geoffrey,NCL,PNG,4,0,"11,11,11,11|3,4,6,9",QF,OTHER,MS,2670,Main Draw,DEY Jeremy (NCL),LOI Geoffrey (PNG),,,4 - 0,11:3 11:4 11:6 11:9,DEY Jeremy,2022
ITTF-Oceania Cup 2022,2022-12-17,YEE Grace Rosi,PAUL Anais,FIJ,NCL,4,0,"11,11,11,11|6,6,8,7",QF,OTHER,WS,2670,Main Draw,YEE Grace Rosi (FIJ),PAUL Anais (NCL),,,4 - 0,11:6 11:6 11:8 11:7,YEE Grace Rosi,2022
ITTF-Oceania Cup 2022,2022-12-17,LIU Yangzi,LI Carolyn,AUS,FIJ,4,0,"11,11,11,11|2,3,3,0",SF,OTHER,WS,2670,Main Draw,LIU Yangzi (AUS),LI Carolyn (FIJ),,,4 - 0,11:2 11:3 11:3 11:0,LIU Yangzi,2022
ITTF-Oceania Cup 2022,2022-12-17,YEE Grace Rosi,JEE Minhyung,AUS,FIJ,4,0,"11,11,11,11|6,1,1,8",SF,OTHER,WS,2670,Main Draw,YEE Grace Rosi (FIJ),JEE Minhyung (AUS),,,0 - 4,6:11 1:11 1:11 8:11,JEE Minhyung,2022
ITTF-Oceania Cup 2022,2022-12-17,LUM Nicholas,DELA PENA Alfred,AUS,NZL,4,1,"4,11,11,11,11|11,8,8,9,5",SF,OTHER,MS,2670,Main Draw,LUM Nicholas (AUS),DELA PENA Alfred (NZL),,,4 - 1,4:11 11:8 11:8 11:9 11:5,LUM Nicholas,2022
ITTF-Oceania Cup 2022,2022-12-17,DEY Jeremy,YAN Xin,AUS,NCL,4,0,"11,11,11,11|4,4,5,7",SF,OTHER,MS,2670,Main Draw,DEY Jeremy (NCL),YAN Xin (AUS),,,0 - 4,4:11 4:11 5:11 7:11,YAN Xin,2022
ITTF-Oceania Cup 2022,2022-12-17,LI Carolyn,YEE Grace Rosi,FIJ,FIJ,4,0,"11,11,12,11|8,6,10,9",2,OTHER,WS,2670,Position Draw,LI Carolyn (FIJ),YEE Grace Rosi (FIJ),,,0 - 4,8:11 6:11 10:12 9:11,YEE Grace Rosi,2022
ITTF-Oceania Cup 2022,2022-12-17,DELA PENA Alfred,DEY Jeremy,NZL,NCL,4,0,"11,11,11,11|9,8,7,9",2,OTHER,MS,2670,Position Draw,DELA PENA Alfred (NZL),DEY Jeremy (NCL),,,4 - 0,11:9 11:8 11:7 11:9,DELA PENA Alfred,2022
ITTF-Oceania Cup 2022,2022-12-17,LIU Yangzi,JEE Minhyung,AUS,AUS,4,3,"11,12,11,9,11,7,11|9,14,7,11,3,11,9",F,OTHER,WS,2670,Main Draw,LIU Yangzi (AUS),JEE Minhyung (AUS),,,3 - 4,9:11 14:12 7:11 11:9 3:11 11:7 9:11,JEE Minhyung,2022
ITTF-Oceania Cup 2022,2022-12-17,LUM Nicholas,YAN Xin,AUS,AUS,4,1,"11,6,11,11,11|9,11,8,8,9",F,OTHER,MS,2670,Main Draw,LUM Nicholas (AUS),YAN Xin (AUS),,,4 - 1,11:9 6:11 11:8 11:8 11:9,LUM Nicholas,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,WANG Yidi,AKASHEVA Zauresh,CHN,KAZ,4,0,"11,11,11,11|2,6,3,6",R16,OTHER,WS,2628,Main Draw,WANG Yidi (CHN),AKASHEVA Zauresh (KAZ),,,4 - 0,11:2 11:6 11:3 11:6,WANG Yidi,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,PARANANG Orawan,SHIN Yubin,KOR,THA,4,2,"15,11,11,7,11,11|13,7,13,11,4,5",R16,OTHER,WS,2628,Main Draw,PARANANG Orawan (THA),SHIN Yubin (KOR),,,2 - 4,13:15 7:11 13:11 11:7 4:11 5:11,SHIN Yubin,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,DOO Hoi Kem,CHENG I-Ching,HKG,TPE,4,2,"11,11,12,5,8,11|9,7,10,11,11,9",R16,OTHER,WS,2628,Main Draw,DOO Hoi Kem (HKG),CHENG I-Ching (TPE),,,4 - 2,11:9 11:7 12:10 5:11 8:11 11:9,DOO Hoi Kem,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,ZENG Jian,HAYATA Hina,JPN,SGP,4,3,"12,8,11,9,12,7,11|10,11,4,11,10,11,3",R16,OTHER,WS,2628,Main Draw,ZENG Jian (SGP),HAYATA Hina (JPN),,,3 - 4,10:12 11:8 4:11 11:9 10:12 11:7 3:11,HAYATA Hina,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,WANG Chuqin,GERASSIMENKO Kirill,CHN,KAZ,4,1,"11,11,11,5,11|8,6,5,11,2",R16,OTHER,MS,2628,Main Draw,WANG Chuqin (CHN),GERASSIMENKO Kirill (KAZ),,,4 - 1,11:8 11:6 11:5 5:11 11:2,WANG Chuqin,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,ALKHADRAWI Ali,LIM Jonghoon,KOR,KSA,4,0,"11,11,11,11|7,4,7,8",R16,OTHER,MS,2628,Main Draw,ALKHADRAWI Ali (KSA),LIM Jonghoon (KOR),,,0 - 4,7:11 4:11 7:11 8:11,LIM Jonghoon,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,UDA Yukiya,GNANASEKARAN Sathiyan,JPN,IND,4,3,"11,11,7,9,11,10,11|9,8,11,11,6,12,6",R16,OTHER,MS,2628,Main Draw,UDA Yukiya (JPN),GNANASEKARAN Sathiyan (IND),,,4 - 3,11:9 11:8 7:11 9:11 11:6 10:12 11:6,UDA Yukiya,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,WONG Chun Ting,LIN Yun-Ju,HKG,TPE,4,2,"11,9,11,6,11,11|9,11,2,11,5,5",R16,OTHER,MS,2628,Main Draw,WONG Chun Ting (HKG),LIN Yun-Ju (TPE),,,4 - 2,11:9 9:11 11:2 6:11 11:5 11:5,WONG Chun Ting,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,CHEN Xingtong,BATRA Manika,IND,CHN,4,3,"8,11,11,11,9,8,11|11,9,6,6,11,11,9",R16,OTHER,WS,2628,Main Draw,CHEN Xingtong (CHN),BATRA Manika (IND),,,3 - 4,11:8 9:11 6:11 6:11 11:9 11:8 9:11,BATRA Manika,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,SAWETTABUT Suthasini,CHEN Szu-Yu,TPE,THA,4,2,"13,11,4,11,4,11|11,9,11,7,11,8",R16,OTHER,WS,2628,Main Draw,SAWETTABUT Suthasini (THA),CHEN Szu-Yu (TPE),,,2 - 4,11:13 9:11 11:4 7:11 11:4 8:11,CHEN Szu-Yu,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,JEON Jihee,LEE Ho Ching,KOR,HKG,4,1,"11,11,9,11,11|5,6,11,8,5",R16,OTHER,WS,2628,Main Draw,JEON Jihee (KOR),LEE Ho Ching (HKG),,,4 - 1,11:5 11:6 9:11 11:8 11:5,JEON Jihee,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,ALI Maryam,ITO Mima,JPN,QAT,4,0,"11,11,11,11|0,1,1,1",R16,OTHER,WS,2628,Main Draw,ALI Maryam (QAT),ITO Mima (JPN),,,0 - 4,0:11 1:11 1:11 1:11,ITO Mima,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,LIN Gaoyuan,ALAMIYAN Noshad,IRI,CHN,4,2,"11,11,5,12,11,11|4,3,11,14,9,6",R16,OTHER,MS,2628,Main Draw,LIN Gaoyuan (CHN),ALAMIYAN Noshad (IRI),,,2 - 4,4:11 3:11 11:5 14:12 9:11 6:11,ALAMIYAN Noshad,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,ACHANTA Sharath,CHUANG Chih-Yuan,TPE,IND,4,1,"7,11,11,11,11|11,4,7,4,6",R16,OTHER,MS,2628,Main Draw,ACHANTA Sharath (IND),CHUANG Chih-Yuan (TPE),,,1 - 4,11:7 4:11 7:11 4:11 6:11,CHUANG Chih-Yuan,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,LEE Sang Su,TANVIRIYAVECHAKUL Padasak,KOR,THA,4,0,"11,12,11,11|9,10,6,9",R16,OTHER,MS,2628,Main Draw,LEE Sang Su (KOR),TANVIRIYAVECHAKUL Padasak (THA),,,4 - 0,11:9 12:10 11:6 11:9,LEE Sang Su,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,PANG Koen,HARIMOTO Tomokazu,JPN,SGP,4,1,"11,7,11,11,11|2,11,4,6,9",R16,OTHER,MS,2628,Main Draw,PANG Koen (SGP),HARIMOTO Tomokazu (JPN),,,1 - 4,2:11 11:7 4:11 6:11 9:11,HARIMOTO Tomokazu,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,WANG Yidi,SHIN Yubin,CHN,KOR,4,1,"7,11,11,11,11|11,6,3,3,5",QF,OTHER,WS,2628,Main Draw,WANG Yidi (CHN),SHIN Yubin (KOR),,,4 - 1,7:11 11:6 11:3 11:3 11:5,WANG Yidi,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,DOO Hoi Kem,HAYATA Hina,JPN,HKG,4,3,"11,7,9,9,11,11,11|8,11,11,11,6,4,6",QF,OTHER,WS,2628,Main Draw,DOO Hoi Kem (HKG),HAYATA Hina (JPN),,,3 - 4,8:11 11:7 11:9 11:9 6:11 4:11 6:11,HAYATA Hina,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,WANG Chuqin,LIM Jonghoon,KOR,CHN,4,3,"11,9,11,11,6,9,12|6,11,5,7,11,11,10",QF,OTHER,MS,2628,Main Draw,WANG Chuqin (CHN),LIM Jonghoon (KOR),,,3 - 4,6:11 11:9 5:11 7:11 11:6 11:9 10:12,LIM Jonghoon,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,UDA Yukiya,WONG Chun Ting,JPN,HKG,4,3,"11,11,11,8,6,4,11|3,7,8,11,11,11,8",QF,OTHER,MS,2628,Main Draw,UDA Yukiya (JPN),WONG Chun Ting (HKG),,,4 - 3,11:3 11:7 11:8 8:11 6:11 4:11 11:8,UDA Yukiya,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,BATRA Manika,CHEN Szu-Yu,IND,TPE,4,3,"6,11,11,11,8,9,11|11,6,5,7,11,11,9",QF,OTHER,WS,2628,Main Draw,BATRA Manika (IND),CHEN Szu-Yu (TPE),,,4 - 3,6:11 11:6 11:5 11:7 8:11 9:11 11:9,BATRA Manika,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,JEON Jihee,ITO Mima,JPN,KOR,4,0,"11,11,12,15|8,5,10,13",QF,OTHER,WS,2628,Main Draw,JEON Jihee (KOR),ITO Mima (JPN),,,0 - 4,8:11 5:11 10:12 13:15,ITO Mima,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,ALAMIYAN Noshad,CHUANG Chih-Yuan,TPE,IRI,4,2,"11,7,11,11,6,11|7,11,7,7,11,9",QF,OTHER,MS,2628,Main Draw,ALAMIYAN Noshad (IRI),CHUANG Chih-Yuan (TPE),,,2 - 4,7:11 11:7 7:11 7:11 11:6 9:11,CHUANG Chih-Yuan,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,LEE Sang Su,HARIMOTO Tomokazu,JPN,KOR,4,1,"11,11,7,11,11|6,6,11,7,9",QF,OTHER,MS,2628,Main Draw,LEE Sang Su (KOR),HARIMOTO Tomokazu (JPN),,,1 - 4,6:11 6:11 11:7 7:11 9:11,HARIMOTO Tomokazu,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,WANG Yidi,HAYATA Hina,CHN,JPN,4,1,"11,6,11,11,11|7,11,4,9,5",SF,OTHER,WS,2628,Main Draw,WANG Yidi (CHN),HAYATA Hina (JPN),,,4 - 1,11:7 6:11 11:4 11:9 11:5,WANG Yidi,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,BATRA Manika,ITO Mima,JPN,IND,4,2,"11,7,11,11,8,11|8,11,7,6,11,7",SF,OTHER,WS,2628,Main Draw,BATRA Manika (IND),ITO Mima (JPN),,,2 - 4,8:11 11:7 7:11 6:11 11:8 7:11,ITO Mima,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,LIM Jonghoon,UDA Yukiya,KOR,JPN,4,1,"11,6,12,11,11|9,11,10,5,4",SF,OTHER,MS,2628,Main Draw,LIM Jonghoon (KOR),UDA Yukiya (JPN),,,4 - 1,11:9 6:11 12:10 11:5 11:4,LIM Jonghoon,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,CHUANG Chih-Yuan,HARIMOTO Tomokazu,JPN,TPE,4,1,"11,9,11,11,14|8,11,1,9,12",SF,OTHER,MS,2628,Main Draw,CHUANG Chih-Yuan (TPE),HARIMOTO Tomokazu (JPN),,,1 - 4,8:11 11:9 1:11 9:11 12:14,HARIMOTO Tomokazu,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,HAYATA Hina,BATRA Manika,IND,JPN,4,2,"11,6,11,12,4,11|6,11,7,10,11,2",2,OTHER,WS,2628,Position Draw,HAYATA Hina (JPN),BATRA Manika (IND),,,2 - 4,6:11 11:6 7:11 10:12 11:4 2:11,BATRA Manika,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,UDA Yukiya,CHUANG Chih-Yuan,TPE,JPN,4,2,"6,11,9,12,11,11|11,9,11,10,7,9",2,OTHER,MS,2628,Position Draw,UDA Yukiya (JPN),CHUANG Chih-Yuan (TPE),,,2 - 4,11:6 9:11 11:9 10:12 7:11 9:11,CHUANG Chih-Yuan,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,WANG Yidi,ITO Mima,CHN,JPN,4,2,"4,11,9,12,11,11|11,6,11,10,9,8",F,OTHER,WS,2628,Main Draw,WANG Yidi (CHN),ITO Mima (JPN),,,4 - 2,4:11 11:6 9:11 12:10 11:9 11:8,WANG Yidi,2022
ITTF-ATTU Asian Cup Bangkok 2022,2022-11-17,LIM Jonghoon,HARIMOTO Tomokazu,JPN,KOR,4,1,"11,7,11,12,11|9,11,8,10,2",F,OTHER,MS,2628,Main Draw,LIM Jonghoon (KOR),HARIMOTO Tomokazu (JPN),,,1 - 4,9:11 11:7 8:11 10:12 2:11,HARIMOTO Tomokazu,2022
ITTF-Pan American Championships 2022,2022-10-31,DIAZ Mariangel,ARGUELLES Camila,ARG,VEN,3,1,"14,10,11,11|12,12,2,4",R16,OTHER,WT,2611,Main Draw,DIAZ Mariangel (VEN),ARGUELLES Camila (ARG),OBANDO Camila (VEN),CODINA Ana (ARG),1 - 3,12:14 12:10 2:11 4:11,ARGUELLES Camila,2022
ITTF-Pan American Championships 2022,2022-10-31,CARDENAS MALLIOTAKIS Isaleym Mariam,KAIZOJI Camila,ARG,VEN,3,1,"12,9,11,11|10,11,7,8",R16,OTHER,WT,2611,Main Draw,CARDENAS MALLIOTAKIS Isaleym Mariam (VEN),KAIZOJI Camila (ARG),,,1 - 3,10:12 11:9 7:11 8:11,KAIZOJI Camila,2022
ITTF-Pan American Championships 2022,2022-10-31,OBANDO Camila,CODINA Ana,ARG,VEN,3,2,"11,11,9,10,11|5,9,11,12,4",R16,OTHER,WT,2611,Main Draw,OBANDO Camila (VEN),CODINA Ana (ARG),,,2 - 3,5:11 9:11 11:9 12:10 4:11,CODINA Ana,2022
ITTF-Pan American Championships 2022,2022-10-31,LOVET Idalys,ARAYA Angie,CUB,CRC,3,1,"11,11,4,11|8,5,11,6",R16,OTHER,WT,2611,Main Draw,LOVET Idalys (CUB),ARAYA Angie (CRC),RODRIGUEZ Lizdainet (CUB),ZAVALETA Lucia (CRC),3 - 1,11:8 11:5 4:11 11:6,LOVET Idalys,2022
ITTF-Pan American Championships 2022,2022-10-31,FONSECA Daniela,PEREZ Sofia,CUB,CRC,3,0,"11,11,11|0,0,0",R16,OTHER,WT,2611,Main Draw,FONSECA Daniela (CUB),PEREZ Sofia (CRC),,,3 - 0,11:0 11:0 11:0,FONSECA Daniela,2022
ITTF-Pan American Championships 2022,2022-10-31,RODRIGUEZ Lizdainet,ZAVALETA Lucia,CUB,CRC,3,0,"11,11,11|9,4,6",R16,OTHER,WT,2611,Main Draw,RODRIGUEZ Lizdainet (CUB),ZAVALETA Lucia (CRC),,,3 - 0,11:9 11:4 11:6,RODRIGUEZ Lizdainet,2022
ITTF-Pan American Championships 2022,2022-10-31,MAXWELL Ramon,GOMEZ Gustavo,CHI,BAR,3,0,"11,11,11|5,4,4",R16,OTHER,MT,2611,Main Draw,MAXWELL Ramon (BAR),GOMEZ Gustavo (CHI),KNIGHT Tyrese (BAR),BURGOS Nicolas (CHI),0 - 3,5:11 4:11 4:11,GOMEZ Gustavo,2022
ITTF-Pan American Championships 2022,2022-10-31,FARLEY Kevin,MOYA Manuel,CHI,BAR,3,0,"11,11,11|5,4,5",R16,OTHER,MT,2611,Main Draw,FARLEY Kevin (BAR),MOYA Manuel (CHI),,,0 - 3,5:11 4:11 5:11,MOYA Manuel,2022
ITTF-Pan American Championships 2022,2022-10-31,KNIGHT Tyrese,BURGOS Nicolas,CHI,BAR,3,0,"11,11,12|3,7,10",R16,OTHER,MT,2611,Main Draw,KNIGHT Tyrese (BAR),BURGOS Nicolas (CHI),,,0 - 3,3:11 7:11 10:12,BURGOS Nicolas,2022
ITTF-Pan American Championships 2022,2022-10-31,HIDALGO Rodrigo,GASTELUM Pablo,PER,MEX,3,0,"11,11,11|0,0,0",R16,OTHER,MT,2611,Main Draw,HIDALGO Rodrigo (PER),GASTELUM Pablo (MEX),FERNANDEZ Carlos (PER),ARCE Dario (MEX),3 - 0,11:0 11:0 11:0,HIDALGO Rodrigo,2022
ITTF-Pan American Championships 2022,2022-10-31,VIGO Rodrigo,GOMEZ Juan Jesus,PER,MEX,3,0,"11,11,11|0,0,0",R16,OTHER,MT,2611,Main Draw,VIGO Rodrigo (PER),GOMEZ Juan Jesus (MEX),,,3 - 0,11:0 11:0 11:0,VIGO Rodrigo,2022
ITTF-Pan American Championships 2022,2022-10-31,FERNANDEZ Carlos,ARCE Dario,PER,MEX,3,0,"11,11,11|0,0,0",R16,OTHER,MT,2611,Main Draw,FERNANDEZ Carlos (PER),ARCE Dario (MEX),,,3 - 0,11:0 11:0 11:0,FERNANDEZ Carlos,2022
