tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Volkswagen China vs. World Team Challenge Match Shanghai 2004,2004-12-14,JOO Saehyuk,MA Long,KOR,CHN,3,1,"11,12,11,11|8,14,6,8",,WTT_FEEDER,MT,1928,Main Draw,JOO Saehyuk (KOR),MA Long (CHN),,,1 - 3,8:11 14:12 6:11 8:11,JOO Saehyuk,2009
Pro Tour Grand Finals Beijing 2004,2004-12-10,BOLL Timo,BLASZCZYK Lucjan,GER,POL,4,2,"7,9,11,11,11,11|11,11,7,8,7,7",R16,GRAND_SLAM,MS,1716,Main Draw,BOLL Timo (GER),BLASZCZYK Lucjan (POL),,,2 - 4,11:7 11:9 7:11 8:11 7:11 7:11,BOLL Timo,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,CHEN Qi,CHN,CHN,4,2,"8,14,14,11,5,11|11,12,12,9,11,8",QuarterFinal,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),CHEN Qi (CHN),,,4 - 2,8:11 14:12 14:12 11:9 5:11 11:8,WANG Liqin,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Hao,SCHLAGER Werner,CHN,AUT,4,3,"11,8,4,9,11,11,11|9,11,11,11,4,9,6",QuarterFinal,GRAND_SLAM,MS,1716,Main Draw,WANG Hao (CHN),SCHLAGER Werner (AUT),,,3 - 4,9:11 11:8 11:4 11:9 4:11 9:11 6:11,WANG Hao,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,MA Lin,MAZE Michael,CHN,DEN,4,2,"11,11,9,11,8,11|4,6,11,8,11,9",QuarterFinal,GRAND_SLAM,MS,1716,Main Draw,MA Lin (CHN),MAZE Michael (DEN),,,4 - 2,11:4 11:6 9:11 11:8 8:11 11:9,MA Lin,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,BOLL Timo,SAMSONOV Vladimir,GER,BLR,4,1,"11,11,4,11,11|7,8,11,7,8",QuarterFinal,GRAND_SLAM,MS,1716,Main Draw,BOLL Timo (GER),SAMSONOV Vladimir (BLR),,,1 - 4,7:11 8:11 11:4 7:11 8:11,BOLL Timo,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,WANG Hao,CHN,CHN,4,0,"11,11,13,13|5,9,11,11",SemiFinal,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),WANG Hao (CHN),,,4 - 0,11:5 11:9 13:11 13:11,WANG Liqin,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,MA Lin,BOLL Timo,CHN,GER,4,3,"11,7,8,6,11,11,14|7,11,11,11,5,7,12",SemiFinal,GRAND_SLAM,MS,1716,Main Draw,MA Lin (CHN),BOLL Timo (GER),,,4 - 3,11:7 7:11 8:11 6:11 11:5 11:7 14:12,MA Lin,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,MA Lin,CHN,CHN,4,1,"11,11,3,11,11|8,8,11,9,4",Final,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),MA Lin (CHN),,,4 - 1,11:8 11:8 3:11 11:9 11:4,WANG Liqin,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,ZHANG Yining,PAVLOVICH Viktoria,CHN,BLR,4,1,"10,13,11,13,11|12,11,2,11,8",R16,GRAND_SLAM,WS,1716,Main Draw,ZHANG Yining (CHN),PAVLOVICH Viktoria (BLR),,,4 - 1,10:12 13:11 11:2 13:11 11:8,ZHANG Yining,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan,LEE Eunsil,CHN,KOR,4,2,"9,11,11,11,9,11|11,4,4,4,11,9",R16,GRAND_SLAM,WS,1716,Main Draw,WANG Nan (CHN),LEE Eunsil (KOR),,,2 - 4,11:9 4:11 4:11 4:11 11:9 9:11,WANG Nan,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,LI Jiawei,CHN,SGP,4,0,"11,11,12,11|5,6,10,3",R16,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),LI Jiawei (SGP),,,4 - 0,11:5 11:6 12:10 11:3,GUO Yue,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,KIM Kyungah,SONG Ah Sim,KOR,HKG,4,3,"11,11,9,11,11,9,11|9,8,11,13,9,11,5",R16,GRAND_SLAM,WS,1716,Main Draw,KIM Kyungah (KOR),SONG Ah Sim (HKG),,,3 - 4,9:11 8:11 11:9 13:11 9:11 11:9 5:11,KIM Kyungah,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,LIU Jia,ZHANG Rui,AUT,HKG,4,2,"11,13,11,8,11,11|8,15,9,11,5,6",R16,GRAND_SLAM,WS,1716,Main Draw,LIU Jia (AUT),ZHANG Rui (HKG),,,4 - 2,11:8 13:15 11:9 8:11 11:5 11:6,LIU Jia,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,LAU Sui Fei,GANINA Svetlana,HKG,RUS,4,2,"8,11,11,11,9,17|11,8,8,7,11,15",R16,GRAND_SLAM,WS,1716,Main Draw,LAU Sui Fei (HKG),GANINA Svetlana (RUS),,,2 - 4,11:8 8:11 8:11 7:11 11:9 15:17,LAU Sui Fei,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,BOROS Tamara,LANG Kristin,CRO,GER,4,0,"11,11,11,11|6,7,4,3",R16,GRAND_SLAM,WS,1716,Main Draw,BOROS Tamara (CRO),LANG Kristin (GER),,,4 - 0,11:6 11:7 11:4 11:3,BOROS Tamara,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,NIU Jianfeng,TIE Yana,CHN,HKG,4,0,"11,11,12,11|9,6,10,6",R16,GRAND_SLAM,WS,1716,Main Draw,NIU Jianfeng (CHN),TIE Yana (HKG),,,0 - 4,9:11 6:11 10:12 6:11,NIU Jianfeng,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan,ZHANG Yining,CHN,CHN,4,1,"12,4,11,11,12|10,11,7,9,10",QuarterFinal,GRAND_SLAM,WS,1716,Main Draw,WANG Nan (CHN),ZHANG Yining (CHN),,,1 - 4,10:12 11:4 7:11 9:11 10:12,WANG Nan,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,KIM Kyungah,CHN,KOR,4,1,"11,11,11,11,11|5,13,9,6,4",QuarterFinal,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),KIM Kyungah (KOR),,,4 - 1,11:5 11:13 11:9 11:6 11:4,GUO Yue,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,LIU Jia,LAU Sui Fei,AUT,HKG,4,1,"11,5,11,11,11|7,11,3,3,9",QuarterFinal,GRAND_SLAM,WS,1716,Main Draw,LIU Jia (AUT),LAU Sui Fei (HKG),,,4 - 1,11:7 5:11 11:3 11:3 11:9,LIU Jia,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,NIU Jianfeng,BOROS Tamara,CHN,CRO,4,2,"9,11,11,8,11,11|11,7,3,11,4,4",QuarterFinal,GRAND_SLAM,WS,1716,Main Draw,NIU Jianfeng (CHN),BOROS Tamara (CRO),,,2 - 4,11:9 7:11 3:11 11:8 4:11 4:11,NIU Jianfeng,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,WANG Nan,CHN,CHN,4,1,"11,11,8,11,11|9,9,11,9,7",SemiFinal,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),WANG Nan (CHN),,,1 - 4,9:11 9:11 11:8 9:11 7:11,GUO Yue,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,NIU Jianfeng,LIU Jia,CHN,AUT,4,1,"11,11,7,11,11|8,9,11,5,5",SemiFinal,GRAND_SLAM,WS,1716,Main Draw,NIU Jianfeng (CHN),LIU Jia (AUT),,,1 - 4,8:11 9:11 11:7 5:11 5:11,NIU Jianfeng,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,NIU Jianfeng,CHN,CHN,4,2,"11,12,11,12,14,11|8,10,3,14,16,8",Final,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),NIU Jianfeng (CHN),,,4 - 2,11:8 12:10 11:3 12:14 14:16 11:8,GUO Yue,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,KONG Linghui/WANG Hao,JINDRAK Karl/SCHLAGER Werner,CHN,AUT,4,2,"6,11,11,11,10,11|11,7,9,7,12,4",QuarterFinal,GRAND_SLAM,MD,1716,Main Draw,KONG Linghui (CHN) / WANG Hao (CHN),JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),WANG Hao (CHN),SCHLAGER Werner (AUT),2 - 4,11:6 7:11 9:11 7:11 12:10 4:11,KONG Linghui,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,CHEN Qi/MA Lin,FRANZ Peter/LUNDQVIST Jens,CHN,GER,4,1,"6,11,11,11,11|11,5,9,6,7",QuarterFinal,GRAND_SLAM,MD,1716,Main Draw,CHEN Qi (CHN) / MA Lin (CHN),FRANZ Peter (GER) / LUNDQVIST Jens (SWE),MA Lin (CHN),LUNDQVIST Jens (SWE),4 - 1,6:11 11:5 11:9 11:6 11:7,CHEN Qi,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,CHEN Qi/MA Lin,MAZE Michael/TUGWELL Finn,CHN,DEN,4,3,"11,11,9,6,11,10,11|8,9,11,11,5,12,8",SemiFinal,GRAND_SLAM,MD,1716,Main Draw,CHEN Qi (CHN) / MA Lin (CHN),MAZE Michael (DEN) / TUGWELL Finn (DEN),MA Lin (CHN),TUGWELL Finn (DEN),4 - 3,11:8 11:9 9:11 6:11 11:5 10:12 11:8,CHEN Qi,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,CHEN Qi/MA Lin,KONG Linghui/WANG Hao,CHN,CHN,4,3,"7,11,10,11,11,10,11|11,8,12,7,4,12,9",Final,GRAND_SLAM,MD,1716,Main Draw,CHEN Qi (CHN) / MA Lin (CHN),KONG Linghui (CHN) / WANG Hao (CHN),MA Lin (CHN),WANG Hao (CHN),4 - 3,7:11 11:8 10:12 11:7 11:4 10:12 11:9,CHEN Qi,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,MAZE Michael/TUGWELL Finn,BOLL Timo/SUSS Christian,DEN,GER,4,3,"11,8,18,11,7,12,11|13,11,16,3,11,10,5",QuarterFinal,GRAND_SLAM,MD,1716,Main Draw,MAZE Michael (DEN) / TUGWELL Finn (DEN),BOLL Timo (GER) / SUSS Christian (GER),TUGWELL Finn (DEN),SUSS Christian (GER),4 - 3,11:13 8:11 18:16 11:3 7:11 12:10 11:5,MAZE Michael,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,LI Ching/KO Lai Chak,CHEUNG Yuk/LEUNG Chu Yan,HKG,HKG,4,3,"9,11,11,7,11,7,11|11,4,7,11,7,11,6",QuarterFinal,GRAND_SLAM,MD,1716,Main Draw,LI Ching (HKG) / KO Lai Chak (HKG),CHEUNG Yuk (HKG) / LEUNG Chu Yan (HKG),KO Lai Chak (HKG),LEUNG Chu Yan (HKG),4 - 3,9:11 11:4 11:7 7:11 11:7 7:11 11:6,LI Ching,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,KONG Linghui/WANG Hao,LI Ching/KO Lai Chak,CHN,HKG,4,1,"11,11,9,11,11|3,3,11,6,8",SemiFinal,GRAND_SLAM,MD,1716,Main Draw,KONG Linghui (CHN) / WANG Hao (CHN),LI Ching (HKG) / KO Lai Chak (HKG),WANG Hao (CHN),KO Lai Chak (HKG),1 - 4,3:11 3:11 11:9 6:11 8:11,KONG Linghui,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan/ZHANG Yining,LIU Jia/HEINE Veronika,CHN,AUT,4,0,"11,11,11,11|5,4,5,6",QuarterFinal,GRAND_SLAM,WD,1716,Main Draw,WANG Nan (CHN) / ZHANG Yining (CHN),LIU Jia (AUT) / HEINE Veronika (AUT),ZHANG Yining (CHN),HEINE Veronika (AUT),0 - 4,5:11 4:11 5:11 6:11,WANG Nan,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue/NIU Jianfeng,KOSTROMINA Tatyana (1973)/PAVLOVICH Viktoria,CHN,BLR,4,1,"11,11,6,11,11|4,7,11,2,7",QuarterFinal,GRAND_SLAM,WD,1716,Main Draw,GUO Yue (CHN) / NIU Jianfeng (CHN),KOSTROMINA Tatyana (1973) (BLR) / PAVLOVICH Viktoria (BLR),NIU Jianfeng (CHN),PAVLOVICH Viktoria (BLR),4 - 1,11:4 11:7 6:11 11:2 11:7,GUO Yue,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue/NIU Jianfeng,TIE Yana/SONG Ah Sim,CHN,HKG,4,0,"11,11,11,11|8,9,6,6",SemiFinal,GRAND_SLAM,WD,1716,Main Draw,GUO Yue (CHN) / NIU Jianfeng (CHN),TIE Yana (HKG) / SONG Ah Sim (HKG),NIU Jianfeng (CHN),SONG Ah Sim (HKG),4 - 0,11:8 11:9 11:6 11:6,GUO Yue,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan/ZHANG Yining,GUO Yue/NIU Jianfeng,CHN,CHN,4,1,"11,11,11,8,14|6,7,3,11,12",Final,GRAND_SLAM,WD,1716,Main Draw,WANG Nan (CHN) / ZHANG Yining (CHN),GUO Yue (CHN) / NIU Jianfeng (CHN),ZHANG Yining (CHN),NIU Jianfeng (CHN),1 - 4,6:11 7:11 3:11 11:8 12:14,WANG Nan,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,LEE Eunsil/SUK Eunmi,ZHANG Rui/LAU Sui Fei,KOR,HKG,4,0,"11,11,11,11|8,5,9,4",QuarterFinal,GRAND_SLAM,WD,1716,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),ZHANG Rui (HKG) / LAU Sui Fei (HKG),SUK Eunmi (KOR),LAU Sui Fei (HKG),4 - 0,11:8 11:5 11:9 11:4,LEE Eunsil,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan/ZHANG Yining,LEE Eunsil/SUK Eunmi,CHN,KOR,4,2,"11,11,3,11,5,11|3,8,11,1,11,6",SemiFinal,GRAND_SLAM,WD,1716,Main Draw,WANG Nan (CHN) / ZHANG Yining (CHN),LEE Eunsil (KOR) / SUK Eunmi (KOR),ZHANG Yining (CHN),SUK Eunmi (KOR),2 - 4,3:11 8:11 11:3 1:11 11:5 6:11,WANG Nan,2004
Pro Tour Grand Finals Beijing 2004,2004-12-10,TIE Yana/SONG Ah Sim,LU Yun-Feng/HUANG Yi-Hua,HKG,TPE,4,2,"11,15,11,13,8,11|7,13,5,15,11,6",QuarterFinal,GRAND_SLAM,WD,1716,Main Draw,TIE Yana (HKG) / SONG Ah Sim (HKG),LU Yun-Feng (TPE) / HUANG Yi-Hua (TPE),SONG Ah Sim (HKG),HUANG Yi-Hua (TPE),2 - 4,7:11 13:15 5:11 15:13 11:8 6:11,TIE Yana,2004
St. Petersburg Open 2004,2004-11-25,IVANOV Leonid,BARBOLIN Illia,RUS,BLR,4,0,"11,11,11,11|8,8,8,2",,GRAND_SLAM,MS,1712,Qualification,IVANOV Leonid (RUS),BARBOLIN Illia (BLR),,,0 - 4,8:11 8:11 8:11 2:11,IVANOV Leonid,2004
St. Petersburg Open 2004,2004-11-25,LAKEEV Vasily,IVANOV Leonid,RUS,RUS,4,1,"11,11,11,10,11|7,8,9,12,7",QR2,GRAND_SLAM,MS,1712,Qualification,LAKEEV Vasily (RUS),IVANOV Leonid (RUS),,,4 - 1,11:7 11:8 11:9 10:12 11:7,LAKEEV Vasily,2004
St. Petersburg Open 2004,2004-11-25,LAKEEV Vasily,BARBOLIN Illia,RUS,BLR,4,0,"11,11,11,11|6,8,9,8",3,GRAND_SLAM,MS,1712,Qualification,LAKEEV Vasily (RUS),BARBOLIN Illia (BLR),,,4 - 0,11:6 11:8 11:9 11:8,LAKEEV Vasily,2004
St. Petersburg Open 2004,2004-11-25,MAKSIMOV Maksim,BARKHATOV Evgenij,RUS,RUS,4,0,"11,11,11,11|8,9,7,2",,GRAND_SLAM,MS,1712,Qualification,MAKSIMOV Maksim (RUS),BARKHATOV Evgenij (RUS),,,4 - 0,11:8 11:9 11:7 11:2,MAKSIMOV Maksim,2004
St. Petersburg Open 2004,2004-11-25,DESPRES Rodolphe,BARKHATOV Evgenij,FRA,RUS,4,2,"9,11,9,11,11,11|11,7,11,8,9,8",QR2,GRAND_SLAM,MS,1712,Qualification,DESPRES Rodolphe (FRA),BARKHATOV Evgenij (RUS),,,4 - 2,9:11 11:7 9:11 11:8 11:9 11:8,DESPRES Rodolphe,2004
St. Petersburg Open 2004,2004-11-25,DESPRES Rodolphe,MAKSIMOV Maksim,FRA,RUS,4,0,"11,11,11,12|7,9,8,10",3,GRAND_SLAM,MS,1712,Qualification,DESPRES Rodolphe (FRA),MAKSIMOV Maksim (RUS),,,4 - 0,11:7 11:9 11:8 12:10,DESPRES Rodolphe,2004
St. Petersburg Open 2004,2004-11-25,ZAIKIN Alan,MOSKAEV Ivan,RUS,RUS,4,1,"13,11,11,9,11|11,9,6,11,7",,GRAND_SLAM,MS,1712,Qualification,ZAIKIN Alan (RUS),MOSKAEV Ivan (RUS),,,4 - 1,13:11 11:9 11:6 9:11 11:7,ZAIKIN Alan,2004
St. Petersburg Open 2004,2004-11-25,CLOSSET Marc,MOSKAEV Ivan,BEL,RUS,4,1,"11,11,13,5,11|9,9,11,11,7",QR2,GRAND_SLAM,MS,1712,Qualification,CLOSSET Marc (BEL),MOSKAEV Ivan (RUS),,,4 - 1,11:9 11:9 13:11 5:11 11:7,CLOSSET Marc,2004
St. Petersburg Open 2004,2004-11-25,ZAIKIN Alan,CLOSSET Marc,RUS,BEL,4,2,"11,11,14,12,8,11|5,7,12,14,11,9",3,GRAND_SLAM,MS,1712,Qualification,ZAIKIN Alan (RUS),CLOSSET Marc (BEL),,,2 - 4,5:11 7:11 12:14 14:12 11:8 9:11,ZAIKIN Alan,2004
St. Petersburg Open 2004,2004-11-25,ILLAS Erik,AFONIN Alexander,SVK,RUS,4,0,"11,11,11,11|9,6,6,8",QR2,GRAND_SLAM,MS,1712,Qualification,ILLAS Erik (SVK),AFONIN Alexander (RUS),,,4 - 0,11:9 11:6 11:6 11:8,ILLAS Erik,2004
St. Petersburg Open 2004,2004-11-25,KARPOV Andrei,MANTUROV Sergei,RUS,EST,4,2,"11,6,11,5,11,11|9,11,5,11,6,8",,GRAND_SLAM,MS,1712,Qualification,KARPOV Andrei (RUS),MANTUROV Sergei (EST),,,4 - 2,11:9 6:11 11:5 5:11 11:6 11:8,KARPOV Andrei,2004
St. Petersburg Open 2004,2004-11-25,KATKOV Ivan,MANTUROV Sergei,UKR,EST,4,1,"11,11,16,4,11|9,7,14,11,6",QR2,GRAND_SLAM,MS,1712,Qualification,KATKOV Ivan (UKR),MANTUROV Sergei (EST),,,4 - 1,11:9 11:7 16:14 4:11 11:6,KATKOV Ivan,2004
St. Petersburg Open 2004,2004-11-25,KATKOV Ivan,KARPOV Andrei,UKR,RUS,4,0,"13,11,11,13|11,6,9,11",3,GRAND_SLAM,MS,1712,Qualification,KATKOV Ivan (UKR),KARPOV Andrei (RUS),,,4 - 0,13:11 11:6 11:9 13:11,KATKOV Ivan,2004
St. Petersburg Open 2004,2004-11-25,GAVLAS Petr,KOMOV Alexander,CZE,RUS,4,1,"11,11,8,11,11|7,4,11,1,7",,GRAND_SLAM,MS,1712,Qualification,GAVLAS Petr (CZE),KOMOV Alexander (RUS),,,4 - 1,11:7 11:4 8:11 11:1 11:7,GAVLAS Petr,2004
St. Petersburg Open 2004,2004-11-25,GAVRILOV Denis,KOMOV Alexander,RUS,RUS,4,1,"13,11,11,9,11|11,5,5,11,4",QR2,GRAND_SLAM,MS,1712,Qualification,GAVRILOV Denis (RUS),KOMOV Alexander (RUS),,,4 - 1,13:11 11:5 11:5 9:11 11:4,GAVRILOV Denis,2004
St. Petersburg Open 2004,2004-11-25,GAVRILOV Denis,GAVLAS Petr,RUS,CZE,4,1,"11,10,11,12,11|6,12,9,10,8",3,GRAND_SLAM,MS,1712,Qualification,GAVRILOV Denis (RUS),GAVLAS Petr (CZE),,,4 - 1,11:6 10:12 11:9 12:10 11:8,GAVRILOV Denis,2004
St. Petersburg Open 2004,2004-11-25,GAVLAS Antonin,VAKHTA Dmitry,CZE,UKR,4,1,"11,5,11,11,11|9,11,7,2,8",3,GRAND_SLAM,MS,1712,Qualification,GAVLAS Antonin (CZE),VAKHTA Dmitry (UKR),,,4 - 1,11:9 5:11 11:7 11:2 11:8,GAVLAS Antonin,2004
St. Petersburg Open 2004,2004-11-25,BALTRUSHKA Dzmitry,GORDEEV Alexander,BLR,RUS,4,2,"8,11,9,11,11,11|11,6,11,3,7,2",,GRAND_SLAM,MS,1712,Qualification,BALTRUSHKA Dzmitry (BLR),GORDEEV Alexander (RUS),,,4 - 2,8:11 11:6 9:11 11:3 11:7 11:2,BALTRUSHKA Dzmitry,2004
St. Petersburg Open 2004,2004-11-25,KHOMUTOV Mikhail,GORDEEV Alexander,RUS,RUS,4,0,"11,11,11,11|5,4,3,9",QR2,GRAND_SLAM,MS,1712,Qualification,KHOMUTOV Mikhail (RUS),GORDEEV Alexander (RUS),,,4 - 0,11:5 11:4 11:3 11:9,KHOMUTOV Mikhail,2004
